fontName,readabilityScore
Wellfleet-Regular,1
UbuntuMono-Italic,0.75
UbuntuMono-Bold,0.75
UbuntuCondensed-Regular,1
Ubuntu-Italic,0.5
Trochut-Italic,0.5
TitilliumWeb-Black,0.3333333333
Tinos-Bold,0.5
Telex-Regular,0.5714285714
Syncopate-Bold,0.4
Strait-Regular,1
StardosStencil-Bold,0.5
SourceSansPro-Semibold,0.75
SourceCodePro-Light,0.75
SourceCodePro-ExtraLight,0.3333333333
SourceCodePro-Black,0.8333333333
SonsieOne-Regular,1
Smokum-Regular,0
Slackey,0.3333333333
Simonetta-Black,1
Signika-Semibold,1
Signika-Light,1
SigmarOne,1
ShareTech-Regular,0.5
Share-BoldOSF,0.6
Share-BoldItalicOSF,1
Sevillana-Regular,0.75
Sacramento-Regular,0.4
Rosarivo-Italic,0.8
Rosario-Bold,0.6666666667
RopaSans-Regular,0.6666666667
Rokkitt-Light,0.75
RobotoCondensed-Regular,1
RobotoCondensed-Light,0.75
Roboto-Regular,0.625
Roboto-MediumItalic,0.25
Roboto-Light,1
Roboto-Black,0.5
Redressed,1
Rationale-Regular,1
Ranchers-Regular,1
Rambla-Regular,1
Raleway-SemiBold,0.5
Raleway-Bold,0.75
RacingSansOne-Regular,1
QuattrocentoSans-Italic,0.5
Puritan-Bold,0.4
PressStart2P-Regular,0.5
PlayfairDisplaySC-BoldItalic,0.6
PlayfairDisplay-Italic,0.8
PlayfairDisplay-Black,0
PasseroOne-Regular,0.5
Parisienne-Regular,0.6
Paprika-Regular,0.75
Overlock-Italic,0.6666666667
Oswald-Regular,0.3333333333
Oswald-Bold,1
OriginalSurfer-Regular,0.6
Orbitron-Medium,0.7142857143
Orbitron-Black,0.5
Oranienbaum-Regular,0.3333333333
Oldenburg-Regular,0.3333333333
NovaRound,0.6666666667
Nobile-MediumItalic,1
Nobile-Medium,0.6666666667
Niconne-Regular,1
Neuton-Light,0.5
NanumGothicCoding-Bold,1
Montez-Regular,0.6
ModernAntiqua-Regular,0.5
Milonga-Regular,0.6666666667
Merriweather-Bold,1
Megrim,0.6
Marvel-BoldItalic,0.6666666667
Marvel-Bold,0.6
MarckScript-Regular,1
Magra-Bold,0.5
Lora-BoldItalic,1
LobsterTwo-Italic,0.8
Lobster,0
LifeSavers-Bold,0
Lekton-Italic,0.6666666667
Lato-Italic,0.75
Lato-BoldItalic,0.6
Lato-BlackItalic,0.5
Kenia-Regular,0.75
KellySlab-Regular,1
Jura-Light,1
Julee-Regular,0.25
JosefinSans-SemiBoldItalic,1
IstokWeb-Bold,0.3333333333
Inconsolata-Regular,1
Iceland-Regular,1
HeadlandOne-Regular,0.6666666667
GreatVibes-Regular,0
GoudyBookletter1911,1
FredokaOne-Regular,1
FanwoodText-Italic,1
Enriqueta-Regular,1
EmblemaOne-Regular,1
Economica-Italic,0.6666666667
EagleLake-Regular,0.5
Dosis-Light,0.6666666667
ClickerScript-Regular,0.5
Chivo-Italic,1
Cardo-Italic,0.75
CantoraOne-Regular,0.6666666667
CabinCondensed-Medium,0.5
Cabin-SemiBoldItalic,0.5
Buenard-Bold,0.6666666667
BowlbyOneSC-Regular,0.5
BlackOpsOne-Regular,0.5
BilboSwashCaps-Regular,1
Bentham-Regular,0.6666666667
BenchNine-Regular,0
BadScript-Regular,1
AveriaSerifLibre-Italic,0.6666666667
AveriaSansLibre-Italic,0
AveriaLibre-LightItalic,1
Astloch-Bold,0.3333333333
Asset,0.5
Asap-Regular,1
Arvo-Italic,0.5
Arvo-BoldItalic,0
Arvo-Bold,0
Arizonia-Regular,0
Arimo-BoldItalic,1
Arimo-Bold,1
ArchivoNarrow-Regular,0
Amethysta-Regular,1
AllertaStencil-Regular,1
Alegreya-BoldItalic,1
AdventPro-SemiBold,1
Acme-Regular,1
